0.4099,0.6032,0.3659,0.3687,0
0.3857,0.4875,0.3659,0.3687,0
0.3615,0.5338,0.3602,0.3687,0
0.3493,0.5106,0.3716,0.3687,0
0.3978,0.6263,0.3659,0.3687,0
0.4463,0.6958,0.3829,0.395,0
0.3493,0.5801,0.3659,0.3818,0
0.3978,0.5801,0.3716,0.3687,0
0.3251,0.4644,0.3659,0.3687,0
0.3857,0.5106,0.3716,0.3556,0
0.4463,0.6495,0.3716,0.3687,0
0.3736,0.5801,0.3772,0.3687,0
0.3736,0.4875,0.3659,0.3556,0
0.313,0.4875,0.3488,0.3556,0
0.4947,0.7189,0.3545,0.3687,0
0.4826,0.8115,0.3716,0.395,0
0.4463,0.6958,0.3602,0.395,0
0.4099,0.6032,0.3659,0.3818,0
0.4826,0.6726,0.3829,0.3818,0
0.4099,0.6726,0.3716,0.3818,0
0.4463,0.5801,0.3829,0.3687,0
0.4099,0.6495,0.3716,0.395,0
0.3493,0.6263,0.3431,0.3687,0
0.4099,0.5569,0.3829,0.4081,0
0.3736,0.5801,0.3943,0.3687,0
0.3978,0.4875,0.3772,0.3687,0
0.3978,0.5801,0.3772,0.395,0
0.422,0.6032,0.3716,0.3687,0
0.422,0.5801,0.3659,0.3687,0
0.3615,0.5338,0.3772,0.3687,0
0.3736,0.5106,0.3772,0.3687,0
0.4463,0.5801,0.3716,0.395,0
0.422,0.742,0.3716,0.3556,0
0.4584,0.7652,0.3659,0.3687,0
0.3857,0.5106,0.3716,0.3556,0
0.3978,0.5338,0.3545,0.3687,0
0.4584,0.6032,0.3602,0.3687,0
0.3857,0.5106,0.3716,0.3556,0
0.3251,0.4875,0.3602,0.3687,0
0.4099,0.5801,0.3716,0.3687,0
0.3978,0.6032,0.3602,0.3818,0
0.3372,0.3255,0.3602,0.3818,0
0.3251,0.5338,0.3602,0.3687,0
0.3978,0.6032,0.3772,0.4213,0
0.4099,0.6726,0.3943,0.395,0
0.3736,0.4875,0.3659,0.3818,0
0.4099,0.6726,0.3772,0.3687,0
0.3493,0.5338,0.3659,0.3687,0
0.4342,0.6495,0.3716,0.3687,0
0.3978,0.5569,0.3659,0.3687,0
0.6402,0.5338,0.5535,0.5265,1
0.5675,0.5338,0.5422,0.5396,1
0.628,0.5106,0.5649,0.5396,1
0.4584,0.3255,0.5137,0.5133,1
0.5796,0.4412,0.5478,0.5396,1
0.4826,0.4412,0.5422,0.5133,1
0.5553,0.5569,0.5535,0.5528,1
0.3857,0.3487,0.4739,0.4739,1
0.5917,0.4644,0.5478,0.5133,1
0.422,0.4181,0.508,0.5265,1
0.3978,0.2561,0.4853,0.4739,1
0.5069,0.4875,0.5251,0.5396,1
0.519,0.3024,0.5137,0.4739,1
0.5311,0.4644,0.5535,0.5265,1
0.4705,0.4644,0.491,0.5133,1
0.6038,0.5106,0.5365,0.5265,1
0.4705,0.4875,0.5422,0.5396,1
0.4947,0.4181,0.5194,0.4739,1
0.5432,0.3024,0.5422,0.5396,1
0.4705,0.3718,0.508,0.487,1
0.5069,0.5338,0.5592,0.5791,1
0.5311,0.4412,0.5137,0.5133,1
0.5553,0.3718,0.5649,0.5396,1
0.5311,0.4412,0.5535,0.5002,1
0.5675,0.4644,0.5308,0.5133,1
0.5917,0.4875,0.5365,0.5265,1
0.6159,0.4412,0.5592,0.5265,1
0.6038,0.4875,0.5706,0.5659,1
0.519,0.4644,0.5422,0.5396,1
0.4826,0.3949,0.4853,0.4739,1
0.4584,0.3487,0.5024,0.487,1
0.4584,0.3487,0.4967,0.4739,1
0.4947,0.4181,0.508,0.5002,1
0.519,0.4181,0.5763,0.5528,1
0.4463,0.4875,0.5422,0.5396,1
0.519,0.5801,0.5422,0.5528,1
0.6038,0.5106,0.5535,0.5396,1
0.5553,0.3255,0.5365,0.5133,1
0.4705,0.4875,0.5194,0.5133,1
0.4584,0.3718,0.5137,0.5133,1
0.4584,0.3949,0.5365,0.5002,1
0.5311,0.4875,0.5478,0.5265,1
0.4947,0.3949,0.5137,0.5002,1
0.3978,0.3255,0.4739,0.4739,1
0.4705,0.4181,0.5251,0.5133,1
0.4826,0.4875,0.5251,0.5002,1
0.4826,0.4644,0.5251,0.5133,1
0.5432,0.4644,0.5308,0.5133,1
0.4099,0.3718,0.4569,0.487,1
0.4826,0.4412,0.5194,0.5133,1
0.5553,0.5569,0.6275,0.6711,2
0.4947,0.4181,0.5763,0.5922,2
0.6523,0.4875,0.6218,0.6185,2
0.5553,0.4644,0.6047,0.5791,2
0.5796,0.4875,0.6161,0.6316,2
0.7129,0.4875,0.6616,0.6185,2
0.3857,0.3718,0.5422,0.5659,2
0.6765,0.4644,0.6445,0.5791,2
0.6038,0.3718,0.6161,0.5791,2
0.6644,0.6263,0.6331,0.6711,2
0.5796,0.5338,0.5763,0.6054,2
0.5675,0.4181,0.5876,0.5922,2
0.6159,0.4875,0.599,0.6185,2
0.4826,0.3718,0.5706,0.6054,2
0.4947,0.4412,0.5763,0.6579,2
0.5675,0.5338,0.5876,0.6448,2
0.5796,0.4875,0.599,0.5791,2
0.725,0.6726,0.6673,0.6316,2
0.725,0.3949,0.6786,0.6448,2
0.519,0.3024,0.5706,0.5396,2
0.628,0.5338,0.6104,0.6448,2
0.4705,0.4412,0.5649,0.6054,2
0.725,0.4412,0.6673,0.6054,2
0.5553,0.4181,0.5649,0.5791,2
0.6038,0.5569,0.6104,0.6185,2
0.6644,0.5338,0.6275,0.5791,2
0.5432,0.4412,0.5592,0.5791,2
0.5311,0.4875,0.5649,0.5791,2
0.5675,0.4412,0.6047,0.6185,2
0.6644,0.4875,0.6161,0.5528,2
0.6886,0.4412,0.6331,0.5922,2
0.7492,0.6726,0.6502,0.6054,2
0.5675,0.4412,0.6047,0.6316,2
0.5553,0.4412,0.5763,0.5396,2
